"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H1-2","H1-2 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Transferred (bytes)","Total Transferred (bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Extractor 1 1","Extractor 1 2","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https://ansira.com/","text/html; charset=UTF-8","200","","Indexable","","Synchronize Your Partner Ecosystem — Ansira","43","411","Fuel growth across your distributed networks with an industry-defining platform designed to synchronize your partner ecosystem.","127","802","","0","Brand-to-local growth starts here","33","","0","Search","6","POWERING GROWTH FOR 500+ BRANDS","31","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://ansira.com/","","","","","","157083","24353","3705980","1419.691","F","582","127","4.583","62.783","Normal","3.082","0","0","","373","29","1","100.000","90","61","0","9","7","2","","","","","ab88ad2a66393a557a6223e01cdc8d61","1.772","","","","","en-US","2.0","","","","","","","","https://ansira.com/","2026-02-20 10:05:46"
"https://ansira.com/wp-content/themes/ansira/dist/vendors/css/ajax-loader.gif","text/html; charset=UTF-8","404","","Non-Indexable","Client Error","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","90621","90621","34.715","A+","0","","","","","0.000","1","6","","0","0","0","0.000","0","0","0","0","0","0","","","","","","1.446","","","","","","2.0","","","","","","","","https://ansira.com/wp-content/themes/ansira/dist/vendors/css/ajax-loader.gif","2026-02-20 10:05:50"
"https://ansira.com/partners/","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","A+","0","","","","","0.000","1","1","","56","28","0","96.550","0","0","0","0","0","0","","","","","","0.748","","https://ansira.com/about/partners/","HTTP Redirect","","","","","","","","","","","https://ansira.com/partners/","2026-02-20 10:06:20"
"https://ansira.com/legal/","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","A+","0","","","","","0.000","1","1","","29","29","0","100.000","0","0","0","0","0","0","","","","","","0.978","","https://ansira.com/about/legal/","HTTP Redirect","","","","","","","","","","","https://ansira.com/legal/","2026-02-20 10:06:20"
"https://ansira.com/financial-services/","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","A+","0","","","","","0.000","1","1","","29","28","0","96.550","0","0","0","0","0","0","","","","","","0.989","","https://ansira.com/industries/financial-services/","HTTP Redirect","","","","","","","","","","","https://ansira.com/financial-services/","2026-02-20 10:06:20"
"https://ansira.com/ansira-connect","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","A+","0","","","","","0.000","1","0","","1","1","0","3.450","0","0","0","0","0","0","","","","","","0.659","","https://ansira.com/platform/ansira-connect/","HTTP Redirect","","","","","","","","","","","https://ansira.com/ansira-connect","2026-02-20 10:06:21"
"https://ansira.com/beverage-alcohol/","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","A+","0","","","","","0.000","1","1","","29","28","0","96.550","0","0","0","0","0","0","","","","","","0.741","","https://ansira.com/industries/beverage-alcohol/","HTTP Redirect","","","","","","","","","","","https://ansira.com/beverage-alcohol/","2026-02-20 10:06:21"
"https://ansira.com/automotive/","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","A+","0","","","","","0.000","1","1","","29","28","0","96.550","0","0","0","0","0","0","","","","","","0.737","","https://ansira.com/industries/automotive/","HTTP Redirect","","","","","","","","","","","https://ansira.com/automotive/","2026-02-20 10:06:22"
"https://ansira.com/newsroom/","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","A+","0","","","","","0.000","1","1","","57","29","0","100.000","0","0","0","0","0","0","","","","","","0.798","","https://ansira.com/about/newsroom/","HTTP Redirect","","","","","","","","","","","https://ansira.com/newsroom/","2026-02-20 10:06:23"
"https://ansira.com/ecosystem-enablement/","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","A+","0","","","","","0.000","1","1","","28","28","0","96.550","0","0","0","0","0","0","","","","","","0.740","","https://ansira.com/services/ecosystem-enablement/","HTTP Redirect","","","","","","","","","","","https://ansira.com/ecosystem-enablement/","2026-02-20 10:06:24"
"https://ansira.com/limit-use-of-my-sensitive-personal-information/","text/html; charset=UTF-8","200","","Indexable","","Limit the Use of My Sensitive Personal Information — Ansira","59","536","","0","0","","0","Limit the Use of My Sensitive Personal Information","50","","0","Search","6","","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://ansira.com/limit-use-of-my-sensitive-personal-information/","","","","","","125501","20007","2159267","827.174","E","525","74","7.095","49.449","Hard","3.834","1","1","","30","29","0","100.000","84","56","0","4","4","0","","","","","c25c205be3ada662d26b269bf9f2668","1.455","","","","","en-US","2.0","","","","","","","","https://ansira.com/limit-use-of-my-sensitive-personal-information/","2026-02-20 10:06:20"
"https://ansira.com/privacy-policy/","text/html; charset=UTF-8","200","","Non-Indexable","Canonicalised","Privacy Policy — Ansira","23","206","Learn about Ansira's privacy policy.","36","219","","0","Privacy Policy","14","","0","Search","6","","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.ansira.com/privacy-policy/","","","","","","158365","30033","1875651","718.526","E","4805","658","7.302","49.309","Hard","19.764","1","1","","67","29","0","100.000","85","55","0","15","15","0","","","","","56d6869de9afc9d3373cab5b74c134ea","1.280","","","","","en-US","2.0","","","","","","","","https://ansira.com/privacy-policy/","2026-02-20 10:06:21"
